category	path	exists	role
target_artifact	output/TUTORIAL_EXCERPT.md	true	final tutorial excerpt
target_artifact	output/TUTORIAL_SPEC_EXCERPT.md	true	tutorial scope and learner contract
unit_output	outline/module_plan.yml	true	teaching structure
unit_output	sources/manifest.summary.yml	true	source-set evidence
harness_report	evidence/TUTORIAL_SELFLOOP.md	true	tutorial self-check
harness_report	evidence/DELIVERY_EVIDENCE.md	true	article and slide delivery evidence
harness_report	evidence/CONTRACT_REPORT.md	true	contract evidence
harness_report	evidence/RUN_AUDIT_SUMMARY.md	true	run audit evidence
run_ledger	README.md	true	fixture guide
workflow_protocol	pipelines/source-tutorial.pipeline.md	true	reusable pipeline contract
